SimulationId,Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart,ClusterCount,LengthScale,Nu,Kernel
0,3,319,110000,1531044493000,0.0094,0.0094,0.00266,1.43,0.0,nan,1.0,0.0,0.0,1.0,1.0,5.65,-4.65,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,24,1482,120000,1531046231000,0.0162,0.0162,0.00342,1.43,0.0,nan,1.0,0.0,0.0,1.0,1.0,3.56,-2.56,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,48,2669,130000,1531048017000,0.018,0.018,0.00363,1.43,0.0,nan,1.0,0.0,0.0,1.0,1.0,3.26,-2.26,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,87,3892,140000,1531049805000,0.0224,0.0224,0.00414,1.43,0.0,nan,1.0,0.0,0.0,1.0,1.0,2.76,-1.76,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,117,5124,150000,1531051599000,0.0228,0.0228,0.00421,1.43,0.0,nan,1.0,0.0,0.0,1.0,1.0,2.7,-1.7,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,149,6229,160000,1531053310000,0.0239,0.0239,0.00429,1.43,0.0,nan,1.0,0.0,0.0,1.0,1.0,2.64,-1.64,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,173,7912,170000,1531054948000,0.0219,0.0219,0.00424,1.43,0.0,nan,1.0,0.0,0.0,1.0,1.0,2.69,-1.69,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,195,9245,180000,1531056675000,0.0211,0.0211,0.00417,1.43,0.0,nan,1.0,0.0,0.0,1.0,1.0,2.74,-1.74,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,225,10361,190000,1531058328000,0.0217,0.0217,0.0042,1.43,0.0,nan,1.0,0.0,0.0,1.0,1.0,2.71,-1.71,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,259,11594,200000,1531059941000,0.0223,0.0223,0.00427,1.43,0.0,nan,1.0,0.0,0.0,1.0,1.0,2.66,-1.66,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,290,12838,210000,1531061809000,0.0226,0.0226,0.0043,1.43,0.0,nan,1.0,0.0,0.0,1.0,1.0,2.64,-1.64,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,335,14214,220000,1531063581000,0.0236,0.0236,0.00444,1.43,8.85e-06,nan,0.997,0.0,0.00298,1.0,0.997,2.54,-1.54,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,363,15477,230000,1531065314000,0.0235,0.0235,0.00443,1.43,8.13e-06,nan,0.997,0.0,0.00275,1.0,0.997,2.55,-1.55,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,395,16741,240000,1531067084000,0.0236,0.0236,0.00446,1.43,2.26e-05,nan,0.992,0.0,0.00754,1.0,0.992,2.53,-1.53,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,503,18305,250000,1531068933000,0.0275,0.0275,0.00496,1.43,2.8e-05,nan,0.992,0.0,0.00789,1.0,0.992,2.26,-1.26,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,580,19673,260000,1531070560000,0.0295,0.0295,0.00521,1.43,2.62e-05,nan,0.993,0.0,0.00685,1.0,0.993,2.16,-1.16,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,646,20928,270000,1531071931000,0.0309,0.0309,0.00538,1.43,3.68e-05,nan,0.991,0.0,0.0092,1.0,0.991,2.1,-1.1,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,718,22252,280000,1531073370000,0.0323,0.0323,0.00555,1.43,3.47e-05,nan,0.992,0.0,0.00829,1.0,0.992,2.04,-1.04,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,765,23637,290000,1531074828000,0.0324,0.0324,0.00557,1.43,3.28e-05,nan,0.992,0.0,0.00778,1.0,0.992,2.03,-1.03,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,815,25457,300000,1531076102000,0.032,0.032,0.00561,1.43,3.11e-05,nan,0.993,0.0,0.00731,1.0,0.993,2.02,-1.02,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,866,27512,310000,1531077460000,0.0315,0.0315,0.00565,1.43,3.45e-05,nan,0.992,0.0,0.00802,1.0,0.992,2.01,-1.01,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,932,29471,320000,1531078853000,0.0316,0.0316,0.00576,1.43,4.23e-05,nan,0.99,0.0,0.00956,1.0,0.99,1.97,-0.973,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,990,31446,330000,1531080285000,0.0315,0.0315,0.00583,1.43,5.38e-05,nan,0.988,0.0,0.012,1.0,0.988,1.95,-0.952,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1055,33425,340000,1531081775000,0.0316,0.0316,0.00591,1.43,5.15e-05,nan,0.989,0.0,0.0112,1.0,0.989,1.93,-0.931,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1130,35552,350000,1531083470000,0.0318,0.0318,0.00602,1.43,4.94e-05,nan,0.989,0.0,0.0105,1.0,0.989,1.9,-0.902,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1212,37667,360000,1531085548000,0.0322,0.0322,0.00615,1.43,4.74e-05,nan,0.99,0.0,0.0098,1.0,0.99,1.87,-0.87,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1271,39606,370000,1531091700000,0.00949,0.0321,0.0062,1.44,4.56e-05,nan,0.991,0.0,0.00935,1.0,0.991,1.87,-0.867,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1329,42814,380000,1531109678000,0.0165,0.031,0.00626,1.45,4.76e-05,nan,0.99,0.0,0.00969,1.0,0.99,1.87,-0.869,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1375,45443,390000,1531114011000,0.0169,0.0303,0.00628,1.46,4.95e-05,nan,0.99,0.0,0.0101,1.0,0.99,1.88,-0.88,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1404,47186,400000,1531116623000,0.0168,0.0298,0.00625,1.46,5.46e-05,nan,0.989,0.0,0.0113,1.0,0.989,1.9,-0.903,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1421,48564,410000,1531118649000,0.0162,0.0293,0.00618,1.47,5.28e-05,nan,0.989,0.0,0.0111,1.0,0.989,1.94,-0.936,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1439,49825,420000,1531120418000,0.016,0.0289,0.00612,1.48,6.07e-05,nan,0.987,0.0,0.013,1.0,0.987,1.96,-0.965,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1456,50876,430000,1531122132000,0.016,0.0286,0.00606,1.48,5.88e-05,nan,0.987,0.0,0.0129,1.0,0.987,2.0,-0.996,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1472,51904,440000,1531123856000,0.016,0.0284,0.006,1.49,6.01e-05,nan,0.987,0.0,0.0134,1.0,0.987,2.03,-1.03,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1482,52605,450000,1531125068000,0.0159,0.0282,0.00593,1.49,5.83e-05,nan,0.987,0.0,0.0133,1.0,0.987,2.06,-1.06,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1500,53411,460000,1531126436000,0.0162,0.0281,0.00588,1.5,5.67e-05,nan,0.987,0.0,0.0132,1.0,0.987,2.09,-1.09,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1514,54353,470000,1531128328000,0.0161,0.0279,0.00582,1.5,5.51e-05,nan,0.987,0.0,0.013,1.0,0.987,2.12,-1.12,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1517,54768,480000,1531129175000,0.0159,0.0277,0.00574,1.51,5.36e-05,nan,0.987,0.0,0.013,1.0,0.987,2.16,-1.16,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1525,55225,490000,1531130018000,0.016,0.0276,0.00567,1.51,5.22e-05,nan,0.987,0.0,0.0129,1.0,0.987,2.2,-1.2,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1538,55675,500000,1531130800000,0.0333,0.0276,0.00563,1.52,5.6e-05,nan,0.986,0.0,0.0141,1.0,0.986,2.23,-1.23,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1544,56303,510000,1531131712000,0.0161,0.0274,0.00556,1.52,5.46e-05,nan,0.986,0.0,0.014,1.0,0.986,2.26,-1.26,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1569,57419,520000,1531133341000,0.0197,0.0273,0.00555,1.52,5.33e-05,nan,0.986,0.0,0.0138,1.0,0.986,2.28,-1.28,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1586,58364,530000,1531134827000,0.0191,0.0272,0.00551,1.53,5.2e-05,nan,0.986,0.0,0.0137,1.0,0.986,2.31,-1.31,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1595,59121,540000,1531136175000,0.0176,0.027,0.00546,1.53,5.31e-05,nan,0.986,0.0,0.0142,1.0,0.986,2.34,-1.34,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1606,59918,550000,1531137754000,0.017,0.0268,0.00542,1.53,5.19e-05,nan,0.986,0.0,0.0141,1.0,0.986,2.37,-1.37,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1628,60849,560000,1531139459000,0.0181,0.0268,0.0054,1.54,5.08e-05,nan,0.986,0.0,0.0139,1.0,0.986,2.38,-1.38,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1669,61730,570000,1531141094000,0.0221,0.027,0.00542,1.54,5.18e-05,nan,0.986,0.0,0.0142,1.0,0.986,2.38,-1.38,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1685,62537,580000,1531142751000,0.0218,0.0269,0.00539,1.54,5.5e-05,nan,0.985,0.0,0.0152,1.0,0.985,2.41,-1.41,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1712,63368,590000,1531144525000,0.0229,0.027,0.00539,1.55,5.38e-05,nan,0.985,0.0,0.015,1.0,0.985,2.42,-1.42,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1742,64251,600000,1531146406000,0.024,0.0271,0.00538,1.55,5.27e-05,nan,0.985,0.0,0.0147,1.0,0.985,2.43,-1.43,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1768,65334,610000,1531148524000,0.024,0.0271,0.00537,1.55,5.17e-05,nan,0.986,0.0,0.0145,1.0,0.986,2.44,-1.44,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1796,66462,620000,1531150653000,0.0241,0.027,0.00537,1.55,5.46e-05,nan,0.985,0.0,0.0154,1.0,0.985,2.45,-1.45,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1829,67835,630000,1531152831000,0.0241,0.027,0.00538,1.56,5.55e-05,nan,0.984,0.0,0.0156,1.0,0.984,2.45,-1.45,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1857,69420,640000,1531154931000,0.0234,0.0268,0.00537,1.56,5.44e-05,nan,0.985,0.0,0.0154,1.0,0.985,2.46,-1.46,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1884,71156,650000,1531156919000,0.0225,0.0265,0.00536,1.56,5.34e-05,nan,0.985,0.0,0.0152,1.0,0.985,2.47,-1.47,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1924,73181,660000,1531158796000,0.0222,0.0263,0.00538,1.56,5.61e-05,nan,0.984,0.0,0.0159,1.0,0.984,2.47,-1.47,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,1982,75519,670000,1531160992000,0.0225,0.0262,0.00543,1.56,5.86e-05,nan,0.984,0.0,0.0164,1.0,0.984,2.45,-1.45,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2010,77733,680000,1531162911000,0.0215,0.0259,0.00542,1.57,5.76e-05,nan,0.984,0.0,0.0162,1.0,0.984,2.46,-1.46,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2046,80016,690000,1531164809000,0.021,0.0256,0.00543,1.57,5.83e-05,nan,0.984,0.0,0.0163,1.0,0.984,2.47,-1.47,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2093,82576,700000,1531166846000,0.0207,0.0253,0.00546,1.57,6.07e-05,nan,0.983,0.0,0.0169,1.0,0.983,2.46,-1.46,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2151,85042,710000,1531168918000,0.021,0.0253,0.0055,1.57,6.14e-05,nan,0.983,0.0,0.0169,1.0,0.983,2.44,-1.44,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2225,87667,720000,1531171813000,0.0216,0.0254,0.00556,1.57,6.04e-05,nan,0.984,0.0,0.0164,1.0,0.984,2.42,-1.42,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2283,90010,730000,1531185503000,0.023,0.0254,0.0056,1.58,6.1e-05,nan,0.984,0.0,0.0164,1.0,0.984,2.41,-1.41,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2311,92589,740000,1531196969000,0.015,0.025,0.0056,1.58,6.79e-05,nan,0.982,0.0,0.0183,1.0,0.982,2.41,-1.41,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2368,94655,750000,1531200364000,0.0194,0.025,0.00564,1.58,7.15e-05,nan,0.981,0.0,0.0191,1.0,0.981,2.4,-1.4,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2394,96053,760000,1531202607000,0.0192,0.0249,0.00563,1.58,7.05e-05,nan,0.981,0.0,0.0189,1.0,0.981,2.41,-1.41,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2410,97170,770000,1531204516000,0.0186,0.0248,0.00561,1.58,6.94e-05,nan,0.981,0.0,0.0187,1.0,0.981,2.43,-1.43,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2421,98164,780000,1531206234000,0.0178,0.0247,0.00558,1.59,6.84e-05,nan,0.981,0.0,0.0186,1.0,0.981,2.45,-1.45,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2441,99100,790000,1531207753000,0.0181,0.0246,0.00557,1.59,6.74e-05,nan,0.982,0.0,0.0185,1.0,0.982,2.46,-1.46,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2462,99952,800000,1531209349000,0.0186,0.0246,0.00555,1.59,6.64e-05,nan,0.982,0.0,0.0183,1.0,0.982,2.48,-1.48,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2478,100582,810000,1531211009000,0.019,0.0246,0.00553,1.59,6.54e-05,nan,0.982,0.0,0.0182,1.0,0.982,2.49,-1.49,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2495,101166,820000,1531212747000,0.0194,0.0247,0.00551,1.59,6.45e-05,nan,0.982,0.0,0.0181,1.0,0.982,2.51,-1.51,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2500,101708,830000,1531214477000,0.019,0.0246,0.00548,1.6,6.36e-05,nan,0.982,0.0,0.0181,1.0,0.982,2.53,-1.53,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2510,102225,840000,1531216000000,0.019,0.0246,0.00546,1.6,6.28e-05,nan,0.982,0.0,0.018,1.0,0.982,2.55,-1.55,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2516,102777,850000,1531217491000,0.0137,0.0245,0.00543,1.6,6.19e-05,nan,0.982,0.0,0.018,1.0,0.982,2.57,-1.57,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2524,103417,860000,1531218803000,0.0129,0.0244,0.0054,1.6,6.11e-05,nan,0.982,0.0,0.0179,1.0,0.982,2.59,-1.59,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2533,104107,870000,1531220183000,0.013,0.0243,0.00537,1.6,6.03e-05,nan,0.982,0.0,0.0178,1.0,0.982,2.61,-1.61,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2550,104730,880000,1531221660000,0.0169,0.0243,0.00536,1.6,6.08e-05,nan,0.982,0.0,0.0181,1.0,0.982,2.63,-1.63,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2578,105351,890000,1531223228000,0.023,0.0245,0.00536,1.6,6e-05,nan,0.982,0.0,0.0179,1.0,0.982,2.63,-1.63,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2600,106019,900000,1531224925000,0.0249,0.0245,0.00535,1.61,6.05e-05,nan,0.982,0.0,0.0181,1.0,0.982,2.64,-1.64,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2612,106639,910000,1531226586000,0.0241,0.0245,0.00533,1.61,5.98e-05,nan,0.982,0.0,0.018,1.0,0.982,2.66,-1.66,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2619,107230,920000,1531228193000,0.0226,0.0244,0.00531,1.61,5.9e-05,nan,0.982,0.0,0.018,1.0,0.982,2.68,-1.68,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2626,107839,930000,1531229863000,0.0213,0.0244,0.00528,1.61,5.83e-05,nan,0.982,0.0,0.018,1.0,0.982,2.7,-1.7,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2646,108604,940000,1531231690000,0.0219,0.0244,0.00528,1.61,5.76e-05,nan,0.982,0.0,0.0178,1.0,0.982,2.71,-1.71,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2670,109380,950000,1531233614000,0.0229,0.0244,0.00527,1.61,5.69e-05,nan,0.982,0.0,0.0177,1.0,0.982,2.72,-1.72,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2692,110147,960000,1531235598000,0.0235,0.0244,0.00527,1.61,6.1e-05,nan,0.981,0.0,0.019,1.0,0.981,2.72,-1.72,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2706,111031,970000,1531237572000,0.0227,0.0244,0.00525,1.62,6.14e-05,nan,0.981,0.0,0.0192,1.0,0.981,2.74,-1.74,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2754,112103,980000,1531239731000,0.0252,0.0246,0.00528,1.62,6.19e-05,nan,0.981,0.0,0.0192,1.0,0.981,2.73,-1.73,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2785,113195,990000,1531241737000,0.0255,0.0246,0.00528,1.62,6.12e-05,nan,0.981,0.0,0.019,1.0,0.981,2.73,-1.73,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2824,114527,1000000,1531243738000,0.0259,0.0247,0.00529,1.62,6.16e-05,nan,0.981,0.0,0.0191,1.0,0.981,2.73,-1.73,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2854,116182,1010000,1531245667000,0.025,0.0246,0.00529,1.62,6.09e-05,nan,0.981,0.0,0.0189,1.0,0.981,2.73,-1.73,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2880,117947,1020000,1531247731000,0.0238,0.0244,0.00529,1.62,6.02e-05,nan,0.981,0.0,0.0187,1.0,0.981,2.74,-1.74,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2930,119674,1030000,1531249459000,0.0243,0.0245,0.00531,1.62,5.96e-05,nan,0.982,0.0,0.0184,1.0,0.982,2.73,-1.73,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,2969,121500,1040000,1531251643000,0.024,0.0244,0.00533,1.62,6.43e-05,nan,0.98,0.0,0.0198,1.0,0.98,2.72,-1.72,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3016,123246,1050000,1531253665000,0.0243,0.0245,0.00534,1.62,6.47e-05,nan,0.98,0.0,0.0198,1.0,0.98,2.71,-1.71,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3052,125149,1060000,1531256223000,0.0238,0.0244,0.00535,1.63,6.4e-05,nan,0.98,0.0,0.0196,1.0,0.98,2.71,-1.71,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3083,126917,1070000,1531263018000,0.0108,0.0243,0.00535,1.63,6.33e-05,nan,0.981,0.0,0.0194,1.0,0.981,2.72,-1.72,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3090,129157,1080000,1531280274000,0.00397,0.0239,0.00534,1.63,6.37e-05,nan,0.98,0.0,0.0197,1.0,0.98,2.73,-1.73,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3113,131157,1090000,1531284669000,0.0073,0.0237,0.00533,1.63,6.51e-05,nan,0.98,0.0,0.0201,1.0,0.98,2.74,-1.74,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3140,132619,1100000,1531287508000,0.01,0.0237,0.00533,1.63,6.45e-05,nan,0.98,0.0,0.02,1.0,0.98,2.74,-1.74,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3153,133658,1110000,1531289836000,0.0104,0.0236,0.00532,1.63,6.38e-05,nan,0.98,0.0,0.0199,1.0,0.98,2.76,-1.76,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3162,134459,1120000,1531291626000,0.0105,0.0235,0.0053,1.63,6.32e-05,nan,0.98,0.0,0.0198,1.0,0.98,2.77,-1.77,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3174,136409,1130000,1531293077000,0.00962,0.0233,0.00529,1.63,6.26e-05,nan,0.98,0.0,0.0198,1.0,0.98,2.79,-1.79,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3182,138093,1140000,1531294497000,0.00891,0.023,0.00527,1.64,6.2e-05,nan,0.98,0.0,0.0197,1.0,0.98,2.8,-1.8,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3195,139623,1150000,1531295902000,0.00886,0.0229,0.00526,1.64,6.14e-05,nan,0.98,0.0,0.0196,1.0,0.98,2.82,-1.82,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3203,141746,1160000,1531297173000,0.00814,0.0226,0.00525,1.64,6.08e-05,nan,0.98,0.0,0.0196,1.0,0.98,2.83,-1.83,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3207,143981,1170000,1531298617000,0.00732,0.0223,0.00523,1.64,6.02e-05,nan,0.98,0.0,0.0196,1.0,0.98,2.85,-1.85,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3220,145984,1180000,1531300121000,0.00724,0.0221,0.00522,1.64,5.96e-05,nan,0.981,0.0,0.0195,1.0,0.981,2.86,-1.86,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3229,147830,1190000,1531301576000,0.00703,0.0218,0.0052,1.64,5.91e-05,nan,0.981,0.0,0.0194,1.0,0.981,2.88,-1.88,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3239,149514,1200000,1531303080000,0.00695,0.0217,0.00519,1.64,5.86e-05,nan,0.981,0.0,0.0194,1.0,0.981,2.89,-1.89,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3247,151123,1210000,1531304333000,0.00549,0.0215,0.00517,1.64,5.8e-05,nan,0.981,0.0,0.0193,1.0,0.981,2.91,-1.91,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3254,152457,1220000,1531305532000,0.00537,0.0213,0.00516,1.64,5.75e-05,nan,0.981,0.0,0.0193,1.0,0.981,2.93,-1.93,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3265,153471,1230000,1531307017000,0.00683,0.0213,0.00515,1.65,5.79e-05,nan,0.98,0.0,0.0195,1.0,0.98,2.94,-1.94,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3275,154425,1240000,1531308567000,0.00756,0.0212,0.00513,1.65,5.74e-05,nan,0.981,0.0,0.0195,1.0,0.981,2.95,-1.95,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3293,155308,1250000,1531310326000,0.00957,0.0212,0.00513,1.65,5.69e-05,nan,0.981,0.0,0.0194,1.0,0.981,2.96,-1.96,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3305,156164,1260000,1531312103000,0.0102,0.0212,0.00512,1.65,5.72e-05,nan,0.98,0.0,0.0196,1.0,0.98,2.97,-1.97,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3315,157002,1270000,1531313779000,0.0104,0.0211,0.0051,1.65,5.68e-05,nan,0.98,0.0,0.0195,1.0,0.98,2.98,-1.98,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3321,157958,1280000,1531315640000,0.00989,0.021,0.00509,1.65,5.63e-05,nan,0.981,0.0,0.0195,1.0,0.981,3.0,-2.0,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3330,158861,1290000,1531317423000,0.0099,0.021,0.00507,1.65,5.58e-05,nan,0.981,0.0,0.0194,1.0,0.981,3.01,-2.01,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3338,159813,1300000,1531319405000,0.00976,0.0209,0.00506,1.65,5.7e-05,nan,0.98,0.0,0.02,1.0,0.98,3.03,-2.03,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3349,160810,1310000,1531321200000,0.00987,0.0208,0.00505,1.65,5.65e-05,nan,0.98,0.0,0.0199,1.0,0.98,3.04,-2.04,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3360,162061,1320000,1531323186000,0.00976,0.0207,0.00504,1.65,5.69e-05,nan,0.98,0.0,0.0201,1.0,0.98,3.05,-2.05,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3381,163470,1330000,1531325396000,0.0103,0.0207,0.00504,1.65,5.72e-05,nan,0.98,0.0,0.0203,1.0,0.98,3.06,-2.06,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
0,3405,164989,1340000,1531327624000,0.0108,0.0206,0.00504,1.65,5.68e-05,nan,0.98,0.0,0.0201,1.0,0.98,3.06,-2.06,GP_Clustered,12,1,0.0,0.2,0.2,10,100,2.5,Matern
