Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
2.0,154.0,110000,LinUCB_Disjoint_H_12,0.1,1531044493.0,0.01,0.1,0.03638263091690062,0.00011735602548516069
12.0,760.0,120000,LinUCB_Disjoint_H_12,0.1,1531046231.0,0.01,0.1,0.004264129406317547,0.000462920473887859
18.0,1330.0,130000,LinUCB_Disjoint_H_12,0.1,1531048017.0,0.01,0.1,0.0032806467502851603,0.0006796686489953461
25.0,1933.0,140000,LinUCB_Disjoint_H_12,0.1,1531049805.0,0.01,0.1,0.004371881743412169,0.0009433981557394028
33.0,2497.0,150000,LinUCB_Disjoint_H_12,0.1,1531051599.0,0.01,0.1,0.004276740192188644,0.0011656209581693538
41.0,3054.0,160000,LinUCB_Disjoint_H_12,0.1,1531053310.0,0.01,0.1,0.0036770772039565395,0.0013225869735310476
49.0,3645.0,170000,LinUCB_Disjoint_H_12,0.1,1531054948.0,0.01,0.1,0.00348420116033343,0.0014497407492253206
57.0,4297.0,180000,LinUCB_Disjoint_H_12,0.1,1531056675.0,0.01,0.1,0.0035794607532687968,0.001568058527227732
64.0,4890.0,190000,LinUCB_Disjoint_H_12,0.1,1531058328.0,0.01,0.1,0.003378851122828032,0.001663363400680397
70.0,5511.0,200000,LinUCB_Disjoint_H_12,0.1,1531059941.0,0.01,0.1,0.004070676113742656,0.0017837290363335134
75.0,6185.0,210000,LinUCB_Disjoint_H_12,0.1,1531061809.0,0.01,0.1,0.003383009384936991,0.0018598852434098807
83.0,6846.0,220000,LinUCB_Disjoint_H_12,0.1,1531063581.0,0.01,0.1,0.004569884560842441,0.0019830670305659263
93.0,7440.0,230000,LinUCB_Disjoint_H_12,0.1,1531065314.0,0.01,0.1,0.003967145103872345,0.0020693312946227166
104.0,8097.0,240000,LinUCB_Disjoint_H_12,0.1,1531067084.0,0.01,0.1,0.004067254381829114,0.002152578089922982
125.0,9002.0,250000,LinUCB_Disjoint_H_12,0.1,1531068933.0,0.01,0.1,0.006243187802378169,0.002316202478421177
141.0,9811.0,260000,LinUCB_Disjoint_H_12,0.1,1531070560.0,0.01,0.1,0.005252342223042752,0.002429130930137371
153.0,10474.0,270000,LinUCB_Disjoint_H_12,0.1,1531071931.0,0.01,0.1,0.004761851285106464,0.002515527980321367
171.0,11229.0,280000,LinUCB_Disjoint_H_12,0.1,1531073370.0,0.01,0.1,0.0057435069556637675,0.002630812943726433
178.0,11813.0,290000,LinUCB_Disjoint_H_12,0.1,1531074828.0,0.01,0.1,0.003869178416129598,0.002673515201395507
192.0,12558.0,300000,LinUCB_Disjoint_H_12,0.1,1531076102.0,0.01,0.1,0.005057599617434838,0.0027529846819301547
203.0,13244.0,310000,LinUCB_Disjoint_H_12,0.1,1531077460.0,0.01,0.1,0.004364748288774382,0.002804977056344475
220.0,14010.0,320000,LinUCB_Disjoint_H_12,0.1,1531078853.0,0.01,0.1,0.005451412553874591,0.002887678165642296
233.0,14739.0,330000,LinUCB_Disjoint_H_12,0.1,1531080285.0,0.01,0.1,0.004567191743483854,0.0029385725164859495
244.0,15436.0,340000,LinUCB_Disjoint_H_12,0.1,1531081775.0,0.01,0.1,0.004268956653233508,0.002977701461684387
258.0,16154.0,350000,LinUCB_Disjoint_H_12,0.1,1531083470.0,0.01,0.1,0.0037661059387781065,0.0030002273038870395
272.0,16935.0,360000,LinUCB_Disjoint_H_12,0.1,1531085548.0,0.01,0.1,0.006844806201637289,0.003107021162157878
289.0,17663.0,370000,LinUCB_Disjoint_H_12,0.1,1531091700.0,0.01,0.1,0.0057564733896101105,0.003178627979116012
298.0,18460.0,380000,LinUCB_Disjoint_H_12,0.1,1531109678.0,0.01,0.1,0.0036839477887624975,0.0031919258688435015
306.0,19030.0,390000,LinUCB_Disjoint_H_12,0.1,1531114011.0,0.01,0.1,0.0021897291402726516,0.0031662285168289075
313.0,19480.0,400000,LinUCB_Disjoint_H_12,0.1,1531116623.0,0.01,0.1,0.002578291424881817,0.0031515300895302253
319.0,19895.0,410000,LinUCB_Disjoint_H_12,0.1,1531118649.0,0.01,0.1,0.002491890790961704,0.003135441326150508
325.0,20307.0,420000,LinUCB_Disjoint_H_12,0.1,1531120418.0,0.01,0.1,0.0025899163900074545,0.0031224526371947084
328.0,20693.0,430000,LinUCB_Disjoint_H_12,0.1,1531122132.0,0.01,0.1,0.002392487336317018,0.0031054766999650167
332.0,21077.0,440000,LinUCB_Disjoint_H_12,0.1,1531123856.0,0.01,0.1,0.0021006689169685536,0.003082640159442398
332.0,21345.0,450000,LinUCB_Disjoint_H_12,0.1,1531125068.0,0.01,0.1,0.0012078531851035614,0.0030409782266793473
335.0,21620.0,460000,LinUCB_Disjoint_H_12,0.1,1531126436.0,0.01,0.1,0.0013981463079360177,0.003005264489315392
336.0,21968.0,470000,LinUCB_Disjoint_H_12,0.1,1531128328.0,0.01,0.1,0.0015118751832941299,0.002973490248761768
336.0,22145.0,480000,LinUCB_Disjoint_H_12,0.1,1531129175.0,0.01,0.1,0.0009031604564166441,0.0029303583780879165
339.0,22354.0,490000,LinUCB_Disjoint_H_12,0.1,1531130018.0,0.01,0.1,0.0013024174842410784,0.00289713509454001
341.0,22546.0,500000,LinUCB_Disjoint_H_12,0.1,1531130800.0,0.01,0.1,0.0009984781936291745,0.0028591619565218333
344.0,22786.0,510000,LinUCB_Disjoint_H_12,0.1,1531131712.0,0.01,0.1,0.001793818166488131,0.0028382728625996065
351.0,23096.0,520000,LinUCB_Disjoint_H_12,0.1,1531133341.0,0.01,0.1,0.0032808201955390323,0.002846783388233051
355.0,23427.0,530000,LinUCB_Disjoint_H_12,0.1,1531134827.0,0.01,0.1,0.0024980346542379773,0.0028402032234406717
358.0,23740.0,540000,LinUCB_Disjoint_H_12,0.1,1531136175.0,0.01,0.1,0.0023984491007271232,0.0028320225915385885
361.0,24068.0,550000,LinUCB_Disjoint_H_12,0.1,1531137754.0,0.01,0.1,0.0020972184763564427,0.002818662516717108
366.0,24430.0,560000,LinUCB_Disjoint_H_12,0.1,1531139459.0,0.01,0.1,0.00258636066902185,0.00281451426943685
369.0,24790.0,570000,LinUCB_Disjoint_H_12,0.1,1531141094.0,0.01,0.1,0.0011018781170825812,0.0027844680211499143
374.0,25153.0,580000,LinUCB_Disjoint_H_12,0.1,1531142751.0,0.01,0.1,0.0023790834061514707,0.002777478631236147
382.0,25523.0,590000,LinUCB_Disjoint_H_12,0.1,1531144525.0,0.01,0.1,0.0031732532559408805,0.0027841866757226793
391.0,25905.0,600000,LinUCB_Disjoint_H_12,0.1,1531146406.0,0.01,0.1,0.0024735399184157305,0.002779009229767551
397.0,26372.0,610000,LinUCB_Disjoint_H_12,0.1,1531148524.0,0.01,0.1,0.003882272647625094,0.0027970955153062047
409.0,26912.0,620000,LinUCB_Disjoint_H_12,0.1,1531150653.0,0.01,0.1,0.004066267016352646,0.0028175660233875945
420.0,27457.0,630000,LinUCB_Disjoint_H_12,0.1,1531152831.0,0.01,0.1,0.003462770192777104,0.002827807359409631
427.0,28007.0,640000,LinUCB_Disjoint_H_12,0.1,1531154931.0,0.01,0.1,0.0034793415873932494,0.002837987581721888
430.0,28551.0,650000,LinUCB_Disjoint_H_12,0.1,1531156919.0,0.01,0.1,0.004184974373015106,0.00285871045543411
437.0,29247.0,660000,LinUCB_Disjoint_H_12,0.1,1531158796.0,0.01,0.1,0.003779616304613887,0.0028726635743610953
445.0,30120.0,670000,LinUCB_Disjoint_H_12,0.1,1531160992.0,0.01,0.1,0.0046845150865262135,0.0028997061342441494
461.0,30850.0,680000,LinUCB_Disjoint_H_12,0.1,1531162911.0,0.01,0.1,0.004756419440073997,0.00292701074168282
470.0,31647.0,690000,LinUCB_Disjoint_H_12,0.1,1531164809.0,0.01,0.1,0.003977047736349233,0.0029422286691417553
480.0,32467.0,700000,LinUCB_Disjoint_H_12,0.1,1531166846.0,0.01,0.1,0.005865083591014328,0.002983983739454233
495.0,33365.0,710000,LinUCB_Disjoint_H_12,0.1,1531168918.0,0.01,0.1,0.0052532803106524134,0.0030159456629922435
510.0,34281.0,720000,LinUCB_Disjoint_H_12,0.1,1531171813.0,0.01,0.1,0.005750744299029194,0.0030539289773816184
526.0,35148.0,730000,LinUCB_Disjoint_H_12,0.1,1531185503.0,0.01,0.1,0.0047548299698632855,0.003077228990977242
529.0,35690.0,740000,LinUCB_Disjoint_H_12,0.1,1531196969.0,0.01,0.1,0.00220943557734734,0.00306550205295525
538.0,36187.0,750000,LinUCB_Disjoint_H_12,0.1,1531200364.0,0.01,0.1,0.003278526886472722,0.0030683423840687962
542.0,36551.0,760000,LinUCB_Disjoint_H_12,0.1,1531202607.0,0.01,0.1,0.0015957300689963098,0.003048965906238891
549.0,36883.0,770000,LinUCB_Disjoint_H_12,0.1,1531204516.0,0.01,0.1,0.0020799382881668883,0.003036381131978228
551.0,37201.0,780000,LinUCB_Disjoint_H_12,0.1,1531206234.0,0.01,0.1,0.0028008360110788003,0.0030333613227359014
552.0,37488.0,790000,LinUCB_Disjoint_H_12,0.1,1531207753.0,0.01,0.1,0.00160311442718274,0.0030152569316529414
554.0,37759.0,800000,LinUCB_Disjoint_H_12,0.1,1531209349.0,0.01,0.1,0.001892703653174851,0.0030012250156719908
554.0,38044.0,810000,LinUCB_Disjoint_H_12,0.1,1531211009.0,0.01,0.1,0.0011084521538482816,0.002977857449476665
556.0,38308.0,820000,LinUCB_Disjoint_H_12,0.1,1531212747.0,0.01,0.1,0.0019996050665572105,0.002965927542367852
558.0,38626.0,830000,LinUCB_Disjoint_H_12,0.1,1531214477.0,0.01,0.1,0.001207541112866975,0.00294474216369914
560.0,38972.0,840000,LinUCB_Disjoint_H_12,0.1,1531216000.0,0.01,0.1,0.002102372951732003,0.002934713958794764
565.0,39358.0,850000,LinUCB_Disjoint_H_12,0.1,1531217491.0,0.01,0.1,0.0017004120141173157,0.002920192759445597
568.0,39730.0,860000,LinUCB_Disjoint_H_12,0.1,1531218803.0,0.01,0.1,0.002202841592161655,0.0029118514668027362
571.0,40095.0,870000,LinUCB_Disjoint_H_12,0.1,1531220183.0,0.01,0.1,0.0017002583446449027,0.0028979251090767693
576.0,40546.0,880000,LinUCB_Disjoint_H_12,0.1,1531221660.0,0.01,0.1,0.0027871564789715623,0.0028966663746437513
583.0,41079.0,890000,LinUCB_Disjoint_H_12,0.1,1531223228.0,0.01,0.1,0.00258657955693905,0.0028931822530965734
587.0,41598.0,900000,LinUCB_Disjoint_H_12,0.1,1531224925.0,0.01,0.1,0.0015987203937991386,0.0028787993435488274
594.0,42054.0,910000,LinUCB_Disjoint_H_12,0.1,1531226586.0,0.01,0.1,0.0028923404420246705,0.00287894814682881
597.0,42437.0,920000,LinUCB_Disjoint_H_12,0.1,1531228193.0,0.01,0.1,0.002897842996742403,0.0028791535256322055
597.0,42892.0,930000,LinUCB_Disjoint_H_12,0.1,1531229863.0,0.01,0.1,0.00210764605629995,0.0028708577463920706
600.0,43442.0,940000,LinUCB_Disjoint_H_12,0.1,1531231690.0,0.01,0.1,0.0030031582540042978,0.0028722651986007102
605.0,43979.0,950000,LinUCB_Disjoint_H_12,0.1,1531233614.0,0.01,0.1,0.0023923523657696866,0.0028672134845709255
610.0,44600.0,960000,LinUCB_Disjoint_H_12,0.1,1531235598.0,0.01,0.1,0.0035910210920801844,0.002874753147149131
616.0,45284.0,970000,LinUCB_Disjoint_H_12,0.1,1531237572.0,0.01,0.1,0.0026955621031258536,0.002872905816798394
628.0,46113.0,980000,LinUCB_Disjoint_H_12,0.1,1531239731.0,0.01,0.1,0.0043721468273394655,0.002888204194456977
631.0,46828.0,990000,LinUCB_Disjoint_H_12,0.1,1531241737.0,0.01,0.1,0.0031936447260296676,0.002891289452351627
639.0,47479.0,1000000,LinUCB_Disjoint_H_12,0.1,1531243738.0,0.01,0.1,0.004177758658465128,0.002904154144412745
649.0,48329.0,1010000,LinUCB_Disjoint_H_12,0.1,1531245667.0,0.01,0.1,0.003877832175440099,0.0029137945209575873
656.0,49059.0,1020000,LinUCB_Disjoint_H_12,0.1,1531247731.0,0.01,0.1,0.0037872693133006556,0.0029223579993138925
670.0,49936.0,1030000,LinUCB_Disjoint_H_12,0.1,1531249459.0,0.01,0.1,0.004549858521494722,0.002938158975257396
678.0,50823.0,1040000,LinUCB_Disjoint_H_12,0.1,1531251643.0,0.01,0.1,0.004969164591992023,0.0029576878754182766
690.0,51675.0,1050000,LinUCB_Disjoint_H_12,0.1,1531253665.0,0.01,0.1,0.004865976384826519,0.002975862051698304
693.0,52567.0,1060000,LinUCB_Disjoint_H_12,0.1,1531256223.0,0.01,0.1,0.004102333463927161,0.002986489140492955
704.0,53386.0,1070000,LinUCB_Disjoint_H_12,0.1,1531263018.0,0.01,0.1,0.004064287889543857,0.0029965620259981207
708.0,54099.0,1080000,LinUCB_Disjoint_H_12,0.1,1531280274.0,0.01,0.1,0.002402953817191219,0.0029910656536943506
717.0,54801.0,1090000,LinUCB_Disjoint_H_12,0.1,1531284669.0,0.01,0.1,0.0027866419084811396,0.0029891902064905678
723.0,55378.0,1100000,LinUCB_Disjoint_H_12,0.1,1531287508.0,0.01,0.1,0.0018960380403818362,0.0029792524595259468
727.0,55848.0,1110000,LinUCB_Disjoint_H_12,0.1,1531289836.0,0.01,0.1,0.0016966961087127085,0.0029676978978068797
728.0,56250.0,1120000,LinUCB_Disjoint_H_12,0.1,1531291626.0,0.01,0.1,0.0013101157040251662,0.0029528980567909767
730.0,56614.0,1130000,LinUCB_Disjoint_H_12,0.1,1531293077.0,0.01,0.1,0.001307012823349935,0.002938332700742845
731.0,56967.0,1140000,LinUCB_Disjoint_H_12,0.1,1531294497.0,0.01,0.1,0.0019023844417970157,0.0029292454353134906
734.0,57330.0,1150000,LinUCB_Disjoint_H_12,0.1,1531295902.0,0.01,0.1,0.0020025235450160995,0.0029211869840935086
735.0,57669.0,1160000,LinUCB_Disjoint_H_12,0.1,1531297173.0,0.01,0.1,0.0018037266095987832,0.0029115537050030315
736.0,58025.0,1170000,LinUCB_Disjoint_H_12,0.1,1531298617.0,0.01,0.1,0.0018013343983440493,0.002902064651099971
740.0,58399.0,1180000,LinUCB_Disjoint_H_12,0.1,1531300121.0,0.01,0.1,0.0017028194959237133,0.0028919015565645606
742.0,58776.0,1190000,LinUCB_Disjoint_H_12,0.1,1531301576.0,0.01,0.1,0.0016051662604814776,0.0028810886549167835
745.0,59082.0,1200000,LinUCB_Disjoint_H_12,0.1,1531303080.0,0.01,0.1,0.0015035768801866466,0.002869609390127377
747.0,59387.0,1210000,LinUCB_Disjoint_H_12,0.1,1531304333.0,0.01,0.1,0.002100873907690962,0.0028632562043221185
747.0,59679.0,1220000,LinUCB_Disjoint_H_12,0.1,1531305532.0,0.01,0.1,0.001305200122706702,0.0028504852528334467
753.0,60008.0,1230000,LinUCB_Disjoint_H_12,0.1,1531307017.0,0.01,0.1,0.0021933302837134944,0.0028451425295072767
756.0,60367.0,1240000,LinUCB_Disjoint_H_12,0.1,1531308567.0,0.01,0.1,0.0020985037724407787,0.0028391212492083736
760.0,60729.0,1250000,LinUCB_Disjoint_H_12,0.1,1531310326.0,0.01,0.1,0.0018959527384363462,0.00283157590112222
763.0,61095.0,1260000,LinUCB_Disjoint_H_12,0.1,1531312103.0,0.01,0.1,0.0017997117934369815,0.0028233865034421788
766.0,61476.0,1270000,LinUCB_Disjoint_H_12,0.1,1531313779.0,0.01,0.1,0.0019003026787027075,0.0028161181268694267
771.0,61904.0,1280000,LinUCB_Disjoint_H_12,0.1,1531315640.0,0.01,0.1,0.0022933639305211463,0.00281203410971047
776.0,62293.0,1290000,LinUCB_Disjoint_H_12,0.1,1531317423.0,0.01,0.1,0.0024882122727032377,0.0028095238629119827
780.0,62693.0,1300000,LinUCB_Disjoint_H_12,0.1,1531319405.0,0.01,0.1,0.0024923465543651123,0.002807084037461591
782.0,63152.0,1310000,LinUCB_Disjoint_H_12,0.1,1531321200.0,0.01,0.1,0.0022984411670701524,0.002803201267458632
786.0,63695.0,1320000,LinUCB_Disjoint_H_12,0.1,1531323186.0,0.01,0.1,0.0032882136247996555,0.002806875603499087
798.0,64321.0,1330000,LinUCB_Disjoint_H_12,0.1,1531325396.0,0.01,0.1,0.004169480817010188,0.0028171207554803734
807.0,65014.0,1340000,LinUCB_Disjoint_H_12,0.1,1531327624.0,0.01,0.1,0.0032788867453070873,0.00282056677032982
819.0,65906.0,1350000,LinUCB_Disjoint_H_12,0.1,1531329744.0,0.01,0.1,0.0045721353752696085,0.002833541352588648
830.0,66728.0,1360000,LinUCB_Disjoint_H_12,0.1,1531331783.0,0.01,0.1,0.0038839061538497176,0.002841264623186168
837.0,67502.0,1370000,LinUCB_Disjoint_H_12,0.1,1531334066.0,0.01,0.1,0.003579120195824681,0.0028466504302857303
844.0,68301.0,1380000,LinUCB_Disjoint_H_12,0.1,1531335903.0,0.01,0.1,0.0038848814869275636,0.002854173843739634
856.0,69126.0,1390000,LinUCB_Disjoint_H_12,0.1,1531338119.0,0.01,0.1,0.004164845650654275,0.002863603137314533
860.0,69848.0,1400000,LinUCB_Disjoint_H_12,0.1,1531340225.0,0.01,0.1,0.00389257695440044,0.0028709529502937217
866.0,70545.0,1410000,LinUCB_Disjoint_H_12,0.1,1531342924.0,0.01,0.1,0.0040857713130691455,0.002879568683363041
882.0,71561.0,1420000,LinUCB_Disjoint_H_12,0.1,1531351318.0,0.01,0.1,0.005271451706772624,0.0028964129300067714
887.0,72271.0,1430000,LinUCB_Disjoint_H_12,0.1,1531369501.0,0.01,0.1,0.0022970407617904686,0.002892221516243041
889.0,72755.0,1440000,LinUCB_Disjoint_H_12,0.1,1531373800.0,0.01,0.1,0.0015068225083591307,0.0028826006897994393
891.0,73179.0,1450000,LinUCB_Disjoint_H_12,0.1,1531376336.0,0.01,0.1,0.0018006110398277276,0.002875138692213442
893.0,73551.0,1460000,LinUCB_Disjoint_H_12,0.1,1531378380.0,0.01,0.1,0.002006106695978122,0.0028691864182665825
894.0,73894.0,1470000,LinUCB_Disjoint_H_12,0.1,1531380197.0,0.01,0.1,0.0014036688734378466,0.0028592169111589013
897.0,74227.0,1480000,LinUCB_Disjoint_H_12,0.1,1531381734.0,0.01,0.1,0.002195992294422319,0.0028547356637485207
897.0,74530.0,1490000,LinUCB_Disjoint_H_12,0.1,1531383373.0,0.01,0.1,0.0018044351278775014,0.0028476866668634957
897.0,74823.0,1500000,LinUCB_Disjoint_H_12,0.1,1531385107.0,0.01,0.1,0.0022040881006352544,0.002843396009755324
899.0,75148.0,1510000,LinUCB_Disjoint_H_12,0.1,1531386959.0,0.01,0.1,0.0011051824509902247,0.0028318846616839973
904.0,75443.0,1520000,LinUCB_Disjoint_H_12,0.1,1531388666.0,0.01,0.1,0.002292668987427012,0.0028283371901428487
907.0,75705.0,1530000,LinUCB_Disjoint_H_12,0.1,1531390366.0,0.01,0.1,0.0017931710809747617,0.0028215713985796182
908.0,75997.0,1540000,LinUCB_Disjoint_H_12,0.1,1531391762.0,0.01,0.1,0.0017992810332697453,0.0028149331494542527
910.0,76258.0,1550000,LinUCB_Disjoint_H_12,0.1,1531393262.0,0.01,0.1,0.0015005363073335313,0.002806453169827682
910.0,76573.0,1560000,LinUCB_Disjoint_H_12,0.1,1531395080.0,0.01,0.1,0.0018101239868162618,0.002800066444295527
914.0,76934.0,1570000,LinUCB_Disjoint_H_12,0.1,1531396997.0,0.01,0.1,0.0015957577247663142,0.002792395688120183
917.0,77290.0,1580000,LinUCB_Disjoint_H_12,0.1,1531398777.0,0.01,0.1,0.0021991693165999506,0.0027886410908320746
918.0,77578.0,1590000,LinUCB_Disjoint_H_12,0.1,1531400537.0,0.01,0.1,0.0021994410333997035,0.0027849354300935104
919.0,77966.0,1600000,LinUCB_Disjoint_H_12,0.1,1531402278.0,0.01,0.1,0.0020046552483015696,0.0027800586789572678
922.0,78365.0,1610000,LinUCB_Disjoint_H_12,0.1,1531404354.0,0.01,0.1,0.002398772245167559,0.0027776904402380892
926.0,78772.0,1620000,LinUCB_Disjoint_H_12,0.1,1531406176.0,0.01,0.1,0.002792378125526253,0.00277778110496209
929.0,79230.0,1630000,LinUCB_Disjoint_H_12,0.1,1531407973.0,0.01,0.1,0.0024973380086209815,0.002776060595168539
932.0,79772.0,1640000,LinUCB_Disjoint_H_12,0.1,1531409990.0,0.01,0.1,0.002991777287366294,0.0027773759408526747
939.0,80344.0,1650000,LinUCB_Disjoint_H_12,0.1,1531412247.0,0.01,0.1,0.003983593731044683,0.002784686351702326
945.0,81041.0,1660000,LinUCB_Disjoint_H_12,0.1,1531414664.0,0.01,0.1,0.0037809743642646053,0.002790688086717737
957.0,81817.0,1670000,LinUCB_Disjoint_H_12,0.1,1531416880.0,0.01,0.1,0.0046661707502812745,0.0028019185218288623
970.0,82675.0,1680000,LinUCB_Disjoint_H_12,0.1,1531419218.0,0.01,0.1,0.0054714844560530655,0.002817808795246868
985.0,83568.0,1690000,LinUCB_Disjoint_H_12,0.1,1531421594.0,0.01,0.1,0.005165232510314799,0.002831698876401157
997.0,84436.0,1700000,LinUCB_Disjoint_H_12,0.1,1531423831.0,0.01,0.1,0.004970388149896657,0.0028442794015393355
1009.0,85326.0,1710000,LinUCB_Disjoint_H_12,0.1,1531426097.0,0.01,0.1,0.005065132881052869,0.0028572668487878796
1024.0,86353.0,1720000,LinUCB_Disjoint_H_12,0.1,1531428700.0,0.01,0.1,0.006163327823566337,0.0028764881335249584
1043.0,87469.0,1730000,LinUCB_Disjoint_H_12,0.1,1531433991.0,0.01,0.1,0.005059183776182544,0.002889104871343808
1050.0,88209.0,1740000,LinUCB_Disjoint_H_12,0.1,1531452298.0,0.01,0.1,0.003587101698994715,0.0028931163473648273
1058.0,88895.0,1750000,LinUCB_Disjoint_H_12,0.1,1531457863.0,0.01,0.1,0.0023892931554030943,0.0028902373576964774
1065.0,89452.0,1760000,LinUCB_Disjoint_H_12,0.1,1531460622.0,0.01,0.1,0.002987645367911546,0.0028907908122999836
1068.0,89926.0,1770000,LinUCB_Disjoint_H_12,0.1,1531462674.0,0.01,0.1,0.002003912530447462,0.002885780200538107
1072.0,90325.0,1780000,LinUCB_Disjoint_H_12,0.1,1531464475.0,0.01,0.1,0.0032892421390550565,0.0028880468406421484
1085.0,90781.0,1790000,LinUCB_Disjoint_H_12,0.1,1531466048.0,0.01,0.1,0.0027619771918459815,0.00288734254092818
1091.0,91164.0,1800000,LinUCB_Disjoint_H_12,0.1,1531467563.0,0.01,0.1,0.0028894419543716338,0.002887354204336194
1094.0,91545.0,1810000,LinUCB_Disjoint_H_12,0.1,1531468953.0,0.01,0.1,0.0017991336592821192,0.002881341936131451
1100.0,91893.0,1820000,LinUCB_Disjoint_H_12,0.1,1531470409.0,0.01,0.1,0.0020912883446553682,0.002877000982332128
1102.0,92319.0,1830000,LinUCB_Disjoint_H_12,0.1,1531471963.0,0.01,0.1,0.001405882368011668,0.0028689620828003105
1108.0,92708.0,1840000,LinUCB_Disjoint_H_12,0.1,1531473512.0,0.01,0.1,0.0020929948964074634,0.0028647448698307927
1112.0,93064.0,1850000,LinUCB_Disjoint_H_12,0.1,1531475081.0,0.01,0.1,0.0017003252814694167,0.0028584507098937183
1120.0,93465.0,1860000,LinUCB_Disjoint_H_12,0.1,1531476404.0,0.01,0.1,0.002088519622848553,0.0028543112954472405
1128.0,93902.0,1870000,LinUCB_Disjoint_H_12,0.1,1531477691.0,0.01,0.1,0.0029796140619666152,0.0028549813637174177
1134.0,94285.0,1880000,LinUCB_Disjoint_H_12,0.1,1531478998.0,0.01,0.1,0.001987891648844822,0.00285036918438299
1142.0,94719.0,1890000,LinUCB_Disjoint_H_12,0.1,1531480540.0,0.01,0.1,0.0028776070029129667,0.0028505132998249577
1147.0,95178.0,1900000,LinUCB_Disjoint_H_12,0.1,1531482052.0,0.01,0.1,0.002397514817084638,0.00284812909728423
1150.0,95734.0,1910000,LinUCB_Disjoint_H_12,0.1,1531483642.0,0.01,0.1,0.0025958250698157317,0.0028468081337896366
1155.0,96169.0,1920000,LinUCB_Disjoint_H_12,0.1,1531485304.0,0.01,0.1,0.0027921536704245955,0.0028465234751262392
1162.0,96663.0,1930000,LinUCB_Disjoint_H_12,0.1,1531487022.0,0.01,0.1,0.002689968001215268,0.002845712306867619
1166.0,97128.0,1940000,LinUCB_Disjoint_H_12,0.1,1531488590.0,0.01,0.1,0.0021927555145567906,0.0028423465502062416
1177.0,97836.0,1950000,LinUCB_Disjoint_H_12,0.1,1531491010.0,0.01,0.1,0.003469360640694178,0.0028455620070805226
1183.0,98468.0,1960000,LinUCB_Disjoint_H_12,0.1,1531492900.0,0.01,0.1,0.002497676289691592,0.002843787079950964
1188.0,99210.0,1970000,LinUCB_Disjoint_H_12,0.1,1531495204.0,0.01,0.1,0.0037933747092098024,0.0028486073217239066
1199.0,100018.0,1980000,LinUCB_Disjoint_H_12,0.1,1531497591.0,0.01,0.1,0.004566286241758961,0.0028572824677846735
1211.0,100878.0,1990000,LinUCB_Disjoint_H_12,0.1,1531500030.0,0.01,0.1,0.005568810812463847,0.0028709082383609193
1224.0,101744.0,2000000,LinUCB_Disjoint_H_12,0.1,1531502452.0,0.01,0.1,0.004576604367555189,0.0028794367190069156
1235.0,102555.0,2010000,LinUCB_Disjoint_H_12,0.1,1531504702.0,0.01,0.1,0.0040788160030730755,0.0028854037801216924
1243.0,103533.0,2020000,LinUCB_Disjoint_H_12,0.1,1531507505.0,0.01,0.1,0.0041904915087627665,0.0028918646104615403
1265.0,104573.0,2030000,LinUCB_Disjoint_H_12,0.1,1531509988.0,0.01,0.1,0.007235534852363235,0.0029132620008157206
1284.0,105585.0,2040000,LinUCB_Disjoint_H_12,0.1,1531512382.0,0.01,0.1,0.006840911708951064,0.002932515185659513
1305.0,106612.0,2050000,LinUCB_Disjoint_H_12,0.1,1531514646.0,0.01,0.1,0.006843967270372484,0.002951595439731268
1329.0,107647.0,2060000,LinUCB_Disjoint_H_12,0.1,1531517611.0,0.01,0.1,0.0071246706883548935,0.00297185308656922
1343.0,108452.0,2070000,LinUCB_Disjoint_H_12,0.1,1531523895.0,0.01,0.1,0.006041406777943143,0.002986681848363267
1348.0,109080.0,2080000,LinUCB_Disjoint_H_12,0.1,1531538649.0,0.01,0.1,0.0030948607685930747,0.002987201939325885
1355.0,109621.0,2090000,LinUCB_Disjoint_H_12,0.1,1531545152.0,0.01,0.1,0.0042808919871405995,0.002993391843860888
1358.0,110266.0,2100000,LinUCB_Disjoint_H_12,0.1,1531548032.0,0.01,0.1,0.0024984652007100892,0.002991035050322063
1361.0,110891.0,2110000,LinUCB_Disjoint_H_12,0.1,1531550244.0,0.01,0.1,0.002803875224627774,0.0029901480369301523
1364.0,111537.0,2120000,LinUCB_Disjoint_H_12,0.1,1531552164.0,0.01,0.1,0.0023016442374866257,0.002986900377498817
1369.0,112243.0,2130000,LinUCB_Disjoint_H_12,0.1,1531553824.0,0.01,0.1,0.002399307739363921,0.0029841417266155456
1375.0,112870.0,2140000,LinUCB_Disjoint_H_12,0.1,1531555499.0,0.01,0.1,0.0036898501222157086,0.002987439429398715
1379.0,113465.0,2150000,LinUCB_Disjoint_H_12,0.1,1531557120.0,0.01,0.1,0.0021993135549364493,0.002983773727657046
1388.0,114062.0,2160000,LinUCB_Disjoint_H_12,0.1,1531558831.0,0.01,0.1,0.0031921229558435436,0.0029847383074171436
1393.0,114713.0,2170000,LinUCB_Disjoint_H_12,0.1,1531560540.0,0.01,0.1,0.002891149783959414,0.0029843070238989066
1399.0,115397.0,2180000,LinUCB_Disjoint_H_12,0.1,1531562235.0,0.01,0.1,0.001995750252007122,0.002979772359807636
