Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
0.0,2.0,460000,TS_Lin_E_0.8,0.02,1529485209.0,0.0001,0.02,0.09372603728979124,0.00011928743672390157
0.0,36.0,470000,TS_Lin_E_0.8,0.02,1529485282.0,0.0001,0.02,0.0455986751603574,0.0010869339840352524
0.0,61.0,480000,TS_Lin_E_0.8,0.02,1529485354.0,0.0001,0.02,0.04541419791701747,0.0020104186493057207
2.0,100.0,490000,TS_Lin_E_0.8,0.02,1529485426.0,0.0001,0.02,0.04541712423929282,0.0028962697837952543
2.0,125.0,500000,TS_Lin_E_0.8,0.02,1529485500.0,0.0001,0.02,0.045654544619705195,0.0037514352805134658
3.0,164.0,510000,TS_Lin_E_0.8,0.02,1529485578.0,0.0001,0.02,0.04498242317948762,0.004559886023630605
3.0,192.0,520000,TS_Lin_E_0.8,0.02,1529485659.0,0.0001,0.02,0.04605513975923046,0.00535787167239217
4.0,222.0,530000,TS_Lin_E_0.8,0.02,1529485742.0,0.0001,0.02,0.045709051177338776,0.006119214681919483
4.0,262.0,540000,TS_Lin_E_0.8,0.02,1529485823.0,0.0001,0.02,0.046020160314431915,0.006858121082521567
4.0,294.0,550000,TS_Lin_E_0.8,0.02,1529485906.0,0.0001,0.02,0.04547438370628384,0.0075602349484081505
4.0,328.0,560000,TS_Lin_E_0.8,0.02,1529485990.0,0.0001,0.02,0.04645628378126218,0.008254807248994845
4.0,366.0,570000,TS_Lin_E_0.8,0.02,1529486075.0,0.0001,0.02,0.046338754230045034,0.008922946669715206
4.0,408.0,580000,TS_Lin_E_0.8,0.02,1529486160.0,0.0001,0.02,0.04638339694886302,0.009568816502114276
4.0,445.0,590000,TS_Lin_E_0.8,0.02,1529486245.0,0.0001,0.02,0.04660927578361816,0.010196620896716085
4.0,468.0,600000,TS_Lin_E_0.8,0.02,1529486326.0,0.0001,0.02,0.04700422378035399,0.010810080944776684
4.0,499.0,610000,TS_Lin_E_0.8,0.02,1529486407.0,0.0001,0.02,0.04695596010617413,0.01140263634086522
4.0,530.0,620000,TS_Lin_E_0.8,0.02,1529486488.0,0.0001,0.02,0.045881121803026025,0.011958740945093542
4.0,565.0,630000,TS_Lin_E_0.8,0.02,1529486569.0,0.0001,0.02,0.047000193635380424,0.012514954479860022
4.0,592.0,640000,TS_Lin_E_0.8,0.02,1529486652.0,0.0001,0.02,0.045955572462759435,0.013037464135842822
4.0,624.0,650000,TS_Lin_E_0.8,0.02,1529486734.0,0.0001,0.02,0.0461829901789997,0.01354739530573768
5.0,654.0,660000,TS_Lin_E_0.8,0.02,1529486817.0,0.0001,0.02,0.04558840893469388,0.014032865209206666
5.0,692.0,670000,TS_Lin_E_0.8,0.02,1529486899.0,0.0001,0.02,0.0468681242464493,0.01452294370229974
7.0,722.0,680000,TS_Lin_E_0.8,0.02,1529486983.0,0.0001,0.02,0.04576545385022766,0.014982392380945682
7.0,756.0,690000,TS_Lin_E_0.8,0.02,1529487066.0,0.0001,0.02,0.04750809442772299,0.015453779367130691
9.0,788.0,700000,TS_Lin_E_0.8,0.02,1529487149.0,0.0001,0.02,0.045254735719218786,0.01587950731501767
10.0,820.0,710000,TS_Lin_E_0.8,0.02,1529487230.0,0.0001,0.02,0.04559617331685954,0.016298051906592843
10.0,842.0,720000,TS_Lin_E_0.8,0.02,1529487314.0,0.0001,0.02,0.046138870547679685,0.0167125077210522
11.0,883.0,730000,TS_Lin_E_0.8,0.02,1529487394.0,0.0001,0.02,0.04572894227785703,0.017109993125939884
11.0,915.0,740000,TS_Lin_E_0.8,0.02,1529487472.0,0.0001,0.02,0.045732215502080384,0.017496779914806606
11.0,962.0,750000,TS_Lin_E_0.8,0.02,1529487552.0,0.0001,0.02,0.046015065358464974,0.017877023720722033
11.0,988.0,760000,TS_Lin_E_0.8,0.02,1529487630.0,0.0001,0.02,0.045331981709742515,0.018238273167946024
13.0,1024.0,770000,TS_Lin_E_0.8,0.02,1529487708.0,0.0001,0.02,0.046228243806282134,0.01860177928013219
13.0,1054.0,780000,TS_Lin_E_0.8,0.02,1529487789.0,0.0001,0.02,0.045447889459954406,0.018945960179873537
13.0,1086.0,790000,TS_Lin_E_0.8,0.02,1529487870.0,0.0001,0.02,0.04535053438158753,0.01928019529635084
13.0,1133.0,800000,TS_Lin_E_0.8,0.02,1529487950.0,0.0001,0.02,0.046176014881027024,0.019616393041159176
14.0,1151.0,810000,TS_Lin_E_0.8,0.02,1529488030.0,0.0001,0.02,0.04513377954803216,0.01993142250420706
14.0,1184.0,820000,TS_Lin_E_0.8,0.02,1529488109.0,0.0001,0.02,0.04583950137721338,0.020247374685585327
14.0,1208.0,830000,TS_Lin_E_0.8,0.02,1529488188.0,0.0001,0.02,0.044549688579430445,0.020540173648161655
14.0,1239.0,840000,TS_Lin_E_0.8,0.02,1529488267.0,0.0001,0.02,0.045821361425481814,0.02084114016932019
14.0,1262.0,850000,TS_Lin_E_0.8,0.02,1529488344.0,0.0001,0.02,0.044506052015819406,0.021119550896926093
14.0,1285.0,860000,TS_Lin_E_0.8,0.02,1529488423.0,0.0001,0.02,0.045711806556354456,0.021405507358082217
15.0,1318.0,870000,TS_Lin_E_0.8,0.02,1529488503.0,0.0001,0.02,0.04510574167517968,0.021677923844485636
15.0,1356.0,880000,TS_Lin_E_0.8,0.02,1529488582.0,0.0001,0.02,0.04475765476242031,0.021940193514007444
15.0,1390.0,890000,TS_Lin_E_0.8,0.02,1529488663.0,0.0001,0.02,0.04571585387342021,0.0222073357652369
16.0,1417.0,900000,TS_Lin_E_0.8,0.02,1529488741.0,0.0001,0.02,0.04492383176911568,0.02245974127639082
16.0,1441.0,910000,TS_Lin_E_0.8,0.02,1529488819.0,0.0001,0.02,0.044577704478608066,0.022702795817074378
16.0,1469.0,920000,TS_Lin_E_0.8,0.02,1529488893.0,0.0001,0.02,0.04313333505497076,0.022924866895747065
16.0,1498.0,930000,TS_Lin_E_0.8,0.02,1529488965.0,0.0001,0.02,0.04316878048002815,0.023142543385900625
16.0,1527.0,940000,TS_Lin_E_0.8,0.02,1529489033.0,0.0001,0.02,0.042548275469390294,0.02334898734423562
16.0,1545.0,950000,TS_Lin_E_0.8,0.02,1529489099.0,0.0001,0.02,0.04180157759749403,0.02354322513637514
16.0,1572.0,960000,TS_Lin_E_0.8,0.02,1529489162.0,0.0001,0.02,0.041492682706528686,0.023730198652731023
16.0,1584.0,970000,TS_Lin_E_0.8,0.02,1529489226.0,0.0001,0.02,0.042075452644910936,0.023919324982547566
16.0,1610.0,980000,TS_Lin_E_0.8,0.02,1529489288.0,0.0001,0.02,0.04349752565635864,0.024119102540443575
17.0,1638.0,990000,TS_Lin_E_0.8,0.02,1529489350.0,0.0001,0.02,0.04285013508383612,0.024308304889366698
17.0,1661.0,1000000,TS_Lin_E_0.8,0.02,1529489410.0,0.0001,0.02,0.042194848866147154,0.024487170329134604
17.0,1696.0,1010000,TS_Lin_E_0.8,0.02,1529489472.0,0.0001,0.02,0.04256248951581845,0.02466613388543856
17.0,1726.0,1020000,TS_Lin_E_0.8,0.02,1529489534.0,0.0001,0.02,0.042534383085677675,0.024841312799166456
18.0,1760.0,1030000,TS_Lin_E_0.8,0.02,1529489596.0,0.0001,0.02,0.04280955258362842,0.025015761729112657
20.0,1782.0,1040000,TS_Lin_E_0.8,0.02,1529489659.0,0.0001,0.02,0.04152250199247945,0.02517448038549119
20.0,1804.0,1050000,TS_Lin_E_0.8,0.02,1529489721.0,0.0001,0.02,0.04180441462442082,0.025332860711576265
21.0,1827.0,1060000,TS_Lin_E_0.8,0.02,1529489782.0,0.0001,0.02,0.04195603413904867,0.025489683102401444
21.0,1843.0,1070000,TS_Lin_E_0.8,0.02,1529489846.0,0.0001,0.02,0.04219515870202373,0.02564580904258503
21.0,1866.0,1080000,TS_Lin_E_0.8,0.02,1529489910.0,0.0001,0.02,0.042839037990072396,0.025805005606913692
21.0,1891.0,1090000,TS_Lin_E_0.8,0.02,1529489972.0,0.0001,0.02,0.0427925771905178,0.025960854887497282
21.0,1918.0,1100000,TS_Lin_E_0.8,0.02,1529490034.0,0.0001,0.02,0.04136933527914701,0.026100931981966755
21.0,1941.0,1110000,TS_Lin_E_0.8,0.02,1529490096.0,0.0001,0.02,0.04150721848835844,0.026239727355898405
21.0,1963.0,1120000,TS_Lin_E_0.8,0.02,1529490158.0,0.0001,0.02,0.04234589521921879,0.02638353242610669
21.0,1991.0,1130000,TS_Lin_E_0.8,0.02,1529490220.0,0.0001,0.02,0.0426461931787493,0.026527449777900055
21.0,2012.0,1140000,TS_Lin_E_0.8,0.02,1529490283.0,0.0001,0.02,0.04263061409983877,0.0266687056052854
22.0,2038.0,1150000,TS_Lin_E_0.8,0.02,1529490346.0,0.0001,0.02,0.04233946365493086,0.026804973066586683
22.0,2050.0,1160000,TS_Lin_E_0.8,0.02,1529490408.0,0.0001,0.02,0.0420488704194931,0.026936385974801403
22.0,2077.0,1170000,TS_Lin_E_0.8,0.02,1529490471.0,0.0001,0.02,0.04272856388406536,0.027071361854367912
23.0,2102.0,1180000,TS_Lin_E_0.8,0.02,1529490534.0,0.0001,0.02,0.04292992900072251,0.027205756491201424
23.0,2122.0,1190000,TS_Lin_E_0.8,0.02,1529490599.0,0.0001,0.02,0.04341511166734519,0.027341969559908363
24.0,2148.0,1200000,TS_Lin_E_0.8,0.02,1529490664.0,0.0001,0.02,0.04285811911688512,0.02747127080621632
24.0,2171.0,1210000,TS_Lin_E_0.8,0.02,1529490730.0,0.0001,0.02,0.04295797131792133,0.02759926006664334
24.0,2194.0,1220000,TS_Lin_E_0.8,0.02,1529490795.0,0.0001,0.02,0.04267827550210712,0.027722858553819264
24.0,2220.0,1230000,TS_Lin_E_0.8,0.02,1529490860.0,0.0001,0.02,0.04255499288533354,0.02784344501179917
24.0,2247.0,1240000,TS_Lin_E_0.8,0.02,1529490923.0,0.0001,0.02,0.04248608154397229,0.02796153079028446
24.0,2279.0,1250000,TS_Lin_E_0.8,0.02,1529490984.0,0.0001,0.02,0.042698178208528566,0.02807942396963055
24.0,2290.0,1260000,TS_Lin_E_0.8,0.02,1529491047.0,0.0001,0.02,0.042721723141552564,0.02819563269321746
24.0,2320.0,1270000,TS_Lin_E_0.8,0.02,1529491110.0,0.0001,0.02,0.04334676484526697,0.02831493294638332
24.0,2341.0,1280000,TS_Lin_E_0.8,0.02,1529491174.0,0.0001,0.02,0.0429560069861076,0.028429316337318274
24.0,2371.0,1290000,TS_Lin_E_0.8,0.02,1529491238.0,0.0001,0.02,0.042808210261593406,0.02854078063130469
24.0,2389.0,1300000,TS_Lin_E_0.8,0.02,1529491304.0,0.0001,0.02,0.04262614918089585,0.028649129620147377
24.0,2410.0,1310000,TS_Lin_E_0.8,0.02,1529491370.0,0.0001,0.02,0.042836055657760094,0.028757426765472594
25.0,2424.0,1320000,TS_Lin_E_0.8,0.02,1529491436.0,0.0001,0.02,0.04180652223586736,0.028856283549339144
25.0,2452.0,1330000,TS_Lin_E_0.8,0.02,1529491503.0,0.0001,0.02,0.04269297416266795,0.02896031881710811
25.0,2482.0,1340000,TS_Lin_E_0.8,0.02,1529491568.0,0.0001,0.02,0.0429975836436797,0.029065074524768905
25.0,2506.0,1350000,TS_Lin_E_0.8,0.02,1529491638.0,0.0001,0.02,0.042534476838161084,0.02916484787523826
25.0,2532.0,1360000,TS_Lin_E_0.8,0.02,1529491708.0,0.0001,0.02,0.043362779659094165,0.029269244432472506
26.0,2555.0,1370000,TS_Lin_E_0.8,0.02,1529491779.0,0.0001,0.02,0.0425781015770156,0.029366389375133847
26.0,2580.0,1380000,TS_Lin_E_0.8,0.02,1529491851.0,0.0001,0.02,0.04329414754792663,0.02946731515899452
26.0,2611.0,1390000,TS_Lin_E_0.8,0.02,1529491921.0,0.0001,0.02,0.04436556957583509,0.029574496845446746
27.0,2641.0,1400000,TS_Lin_E_0.8,0.02,1529491993.0,0.0001,0.02,0.04244977682323483,0.029666463131002636
27.0,2667.0,1410000,TS_Lin_E_0.8,0.02,1529492066.0,0.0001,0.02,0.04312815197165695,0.029761936101503836
28.0,2693.0,1420000,TS_Lin_E_0.8,0.02,1529492140.0,0.0001,0.02,0.04339301398229217,0.02985792960770672
28.0,2717.0,1430000,TS_Lin_E_0.8,0.02,1529492215.0,0.0001,0.02,0.043091127186745556,0.02995046945091707
28.0,2735.0,1440000,TS_Lin_E_0.8,0.02,1529492289.0,0.0001,0.02,0.04217304687328331,0.030035348460794947
28.0,2764.0,1450000,TS_Lin_E_0.8,0.02,1529492368.0,0.0001,0.02,0.04425813422236149,0.030133436638461214
29.0,2793.0,1460000,TS_Lin_E_0.8,0.02,1529492448.0,0.0001,0.02,0.04362715605785462,0.030225859374210712
29.0,2812.0,1470000,TS_Lin_E_0.8,0.02,1529492529.0,0.0001,0.02,0.04268435285694392,0.030310611030555983
30.0,2840.0,1480000,TS_Lin_E_0.8,0.02,1529492610.0,0.0001,0.02,0.04393754109954911,0.030402684882373437
32.0,2861.0,1490000,TS_Lin_E_0.8,0.02,1529492694.0,0.0001,0.02,0.04365641703221904,0.030491636104855595
32.0,2885.0,1500000,TS_Lin_E_0.8,0.02,1529492774.0,0.0001,0.02,0.04288768402899123,0.030574276424349994
33.0,2923.0,1510000,TS_Lin_E_0.8,0.02,1529492855.0,0.0001,0.02,0.04335765005841681,0.0306589345278869
34.0,2940.0,1520000,TS_Lin_E_0.8,0.02,1529492937.0,0.0001,0.02,0.04300949747211336,0.03074018823146744
34.0,2964.0,1530000,TS_Lin_E_0.8,0.02,1529493020.0,0.0001,0.02,0.04255705292651347,0.030817422641238944
34.0,2979.0,1540000,TS_Lin_E_0.8,0.02,1529493104.0,0.0001,0.02,0.04205819334950155,0.03089041465882491
34.0,3001.0,1550000,TS_Lin_E_0.8,0.02,1529493186.0,0.0001,0.02,0.04341160926070724,0.03097119655948221
34.0,3017.0,1560000,TS_Lin_E_0.8,0.02,1529493270.0,0.0001,0.02,0.04271939068890933,0.031046505496209433
35.0,3048.0,1570000,TS_Lin_E_0.8,0.02,1529493356.0,0.0001,0.02,0.042831673579577415,0.031121570261071745
35.0,3067.0,1580000,TS_Lin_E_0.8,0.02,1529493442.0,0.0001,0.02,0.04220490123501976,0.03119171792546395
36.0,3086.0,1590000,TS_Lin_E_0.8,0.02,1529493526.0,0.0001,0.02,0.04326092150816066,0.03126762486623583
36.0,3109.0,1600000,TS_Lin_E_0.8,0.02,1529493611.0,0.0001,0.02,0.04319808636122993,0.031342190250579875
36.0,3131.0,1610000,TS_Lin_E_0.8,0.02,1529493697.0,0.0001,0.02,0.04218084663945393,0.03140951109771573
36.0,3163.0,1620000,TS_Lin_E_0.8,0.02,1529493781.0,0.0001,0.02,0.04291904379805549,0.03148055759586596
36.0,3195.0,1630000,TS_Lin_E_0.8,0.02,1529493863.0,0.0001,0.02,0.04363540249669776,0.031555127196484845
36.0,3219.0,1640000,TS_Lin_E_0.8,0.02,1529493948.0,0.0001,0.02,0.04382197444874709,0.03162992504558391
37.0,3242.0,1650000,TS_Lin_E_0.8,0.02,1529494031.0,0.0001,0.02,0.04296957947477955,0.03169865022394247
